Date,Close,Polarity,Prediction,Subjectivity,
02/01/2000,110.62,0,0,0,
05/01/2000,112.44,0,0,0,
06/01/2000,107.19,0,0,0,
07/01/2000,108.38,0,0,0,
08/01/2000,104.19,0,0,0,
09/01/2000,101.87,0,0,0,
12/01/2000,102.62,0,0,0,
13/01/2000,103.63,0,0,0,
14/01/2000,104.38,0,0,0,
15/01/2000,103.25,0,0,0,
16/01/2000,105.5,0,0,0,
20/01/2000,107.19,0,0,0,
21/01/2000,105.13,0,0,0,
22/01/2000,104.25,0,0,0,
23/01/2000,103.25,0,0,0,
26/01/2000,102.13,0,0,0,
27/01/2000,105.25,0,0,0,
28/01/2000,106,0,0,0,
29/01/2000,106.81,0,0,0,
30/01/2000,107.19,0,0,0,
02/02/2000,111.19,0,0,0,
03/02/2000,114.25,0,0,0,
04/02/2000,114.5,0,0,0,
05/02/2000,114.56,0,0,0,
06/02/2000,116.94,0,0,0,
09/02/2000,121,0,0,0,
10/02/2000,119.87,0,0,0,
11/02/2000,119.81,0,0,0,
12/02/2000,119.38,0,0,0,
13/02/2000,118.19,0,0,0,
17/02/2000,120.75,0,0,0,
18/02/2000,121.81,0,0,0,
19/02/2000,119.62,0,0,0,
20/02/2000,119.81,0,0,0,
23/02/2000,121.19,0,0,0,
24/02/2000,119.75,0,0,0,
25/02/2000,122.38,0,0,0,
26/02/2000,123.75,0,0,0,
27/02/2000,124.06,0,0,0,
02/03/2000,123.75,0,0,0,
03/03/2000,125.31,0,0,0,
04/03/2000,122.44,0,0,0,
05/03/2000,120.5,0,0,0,
06/03/2000,121.63,0,0,0,
09/03/2000,118.56,0,0,0,
10/03/2000,121.56,0,0,0,
11/03/2000,124.69,0,0,0,
12/03/2000,125.25,0,0,0,
13/03/2000,125.25,0,0,0,
16/03/2000,128.31,0,0,0,
17/03/2000,134.75,0,0,0,
18/03/2000,138.13,0,0,0,
19/03/2000,135.25,0,0,0,
20/03/2000,134.62,0,0,0,
23/03/2000,132.69,0,0,0,
24/03/2000,134.19,0,0,0,
25/03/2000,133,0,0,0,
26/03/2000,134.19,0,0,0,
27/03/2000,134.12,0,0,0,
30/03/2000,133.75,0,0,0,
31/03/2000,134.87,0,0,0,
01/04/2000,136,0,0,0,
02/04/2000,139.31,0,0,0,
03/04/2000,140.12,0,0,0,
06/04/2000,147,0,0,0,
07/04/2000,143.62,0,0,0,
08/04/2000,140.25,0,0,0,
09/04/2000,141.62,0,0,0,
13/04/2000,146.38,0,0,0,
14/04/2000,142.75,0,0,0,
15/04/2000,140.06,0,0,0,
16/04/2000,135.25,0,0,0,
17/04/2000,137.25,0,0,0,
20/04/2000,134.69,0,0,0,
21/04/2000,139.12,0,0,0,
22/04/2000,140.12,0,0,0,
23/04/2000,136.5,0,0,0,
24/04/2000,134.06,0,0,0,
27/04/2000,132.62,0,0,0,
28/04/2000,133.63,0,0,0,
29/04/2000,135.13,0,0,0,
30/04/2000,138.56,0,0,0,
01/05/2000,140.87,0,0,0,
04/05/2000,139.06,0,0,0,
05/05/2000,137,0,0,0,
06/05/2000,135.06,0,0,0,
07/05/2000,136.25,0,0,0,
08/05/2000,136.88,0,0,0,
11/05/2000,138.56,0,0,0,
12/05/2000,140.5,0,0,0,
13/05/2000,139.5,0,0,0,
14/05/2000,139.31,0,0,0,
15/05/2000,142,0,0,0,
18/05/2000,142.25,0,0,0,
19/05/2000,144.88,0,0,0,
20/05/2000,144.19,0,0,0,
21/05/2000,143.75,0,0,0,
22/05/2000,144.44,0,0,0,
26/05/2000,139.31,0,0,0,
27/05/2000,136.06,0,0,0,
28/05/2000,136.44,0,0,0,
29/05/2000,135.94,0,0,0,
01/06/2000,134.06,0,0,0,
02/06/2000,136.94,0,0,0,
03/06/2000,135.62,0,0,0,
04/06/2000,137.5,0,0,0,
05/06/2000,140.25,0,0,0,
08/06/2000,143.31,0,0,0,
09/06/2000,141.56,0,0,0,
10/06/2000,142,0,0,0,
11/06/2000,140.06,0,0,0,
12/06/2000,138.88,0,0,0,
15/06/2000,68.19,0,0,0,
16/06/2000,67.75,0,0,0,
17/06/2000,69.63,0,0,0,
18/06/2000,69.44,0,0,0,
19/06/2000,70.38,0,0,0,
22/06/2000,69.31,0,0,0,
23/06/2000,70.19,0,0,0,
24/06/2000,73.12,0,0,0,
25/06/2000,72.38,0,0,0,
26/06/2000,73.25,0,0,0,
29/06/2000,75.63,0,0,0,
30/06/2000,75.5,0,0,0,
01/07/2000,75.5,0,0,0,
02/07/2000,75.44,0,0,0,
06/07/2000,77,0,0,0,
07/07/2000,75,0,0,0,
08/07/2000,73.62,0,0,0,
09/07/2000,73.62,0,0,0,
10/07/2000,74.5,0,0,0,
13/07/2000,74.37,0,0,0,
14/07/2000,75.5,0,0,0,
15/07/2000,75.19,0,0,0,
16/07/2000,75,0,0,0,
17/07/2000,74.94,0,0,0,
20/07/2000,75,0,0,0,
21/07/2000,71.5,0,0,0,
22/07/2000,72.94,0,0,0,
23/07/2000,73.12,0,0,0,
24/07/2000,73.62,0,0,0,
27/07/2000,73.75,0,0,0,
28/07/2000,73.38,0,0,0,
29/07/2000,72.56,0,0,0,
30/07/2000,74.62,0,0,0,
31/07/2000,75.63,0,0,0,
03/08/2000,74.81,0,0,0,
04/08/2000,69.63,0,0,0,
05/08/2000,71.37,0,0,0,
06/08/2000,71.5,0,0,0,
07/08/2000,69.19,0,0,0,
10/08/2000,68.5,0,0,0,
11/08/2000,65.75,0,0,0,
12/08/2000,66.19,0,0,0,
13/08/2000,64.12,0,0,0,
14/08/2000,64.38,0,0,0,
17/08/2000,66.5,0,0,0,
18/08/2000,69.19,0,0,0,
19/08/2000,67.88,0,0,0,
20/08/2000,65.37,0,0,0,
21/08/2000,63.69,0,0,0,
24/08/2000,64.06,0,0,0,
25/08/2000,64.12,0,0,0,
26/08/2000,64.25,0,0,0,
27/08/2000,58.12,0,0,0,
28/08/2000,56.5,0,0,0,
31/08/2000,52.5,0,0,0,
01/09/2000,54.87,0,0,0,
02/09/2000,54.87,0,0,0,
03/09/2000,49.25,0,0,0,
04/09/2000,45.38,0,0,0,
08/09/2000,47.13,0,0,0,
09/09/2000,44.62,0,0,0,
10/09/2000,42.75,0,0,0,
11/09/2000,46,0,0,0,
14/09/2000,46.25,0,0,0,
15/09/2000,49.12,0,0,0,
16/09/2000,49.94,0,0,0,
17/09/2000,47.88,0,0,0,
18/09/2000,47.44,0,0,0,
21/09/2000,46.81,0,0,0,
22/09/2000,46.12,0,0,0,
23/09/2000,50.13,0,0,0,
24/09/2000,46.38,0,0,0,
25/09/2000,45.5,0,0,0,
28/09/2000,44.56,0,0,0,
29/09/2000,45,0,0,0,
30/09/2000,43.12,0,0,0,
01/10/2000,40.72,0,0,0,
02/10/2000,43.75,0,0,0,
05/10/2000,41.5,0,0,0,
06/10/2000,41.06,0,0,0,
07/10/2000,40.25,0,0,0,
08/10/2000,40.5,0,0,0,
09/10/2000,42.81,0,0,0,
12/10/2000,43.06,0,0,0,
13/10/2000,42.69,0,0,0,
14/10/2000,41.69,0,0,0,
15/10/2000,47,0,0,0,
16/10/2000,49.09,0,0,0,
19/10/2000,51.25,0,0,0,
20/10/2000,53.06,0,0,0,
21/10/2000,54,0,0,0,
22/10/2000,56.06,0,0,0,
23/10/2000,55.69,0,0,0,
26/10/2000,54.5,0,0,0,
27/10/2000,52,0,0,0,
28/10/2000,52.38,0,0,0,
29/10/2000,54.12,0,0,0,
30/10/2000,56.81,0,0,0,
02/11/2000,56.5,0,0,0,
03/11/2000,56.25,0,0,0,
04/11/2000,58,0,0,0,
05/11/2000,60.38,0,0,0,
06/11/2000,61,0,0,0,
09/11/2000,58.31,0,0,0,
10/11/2000,57.19,0,0,0,
11/11/2000,56.62,0,0,0,
12/11/2000,55.12,0,0,0,
13/11/2000,57.19,0,0,0,
16/11/2000,57.87,0,0,0,
17/11/2000,61.25,0,0,0,
18/11/2000,61.81,0,0,0,
19/11/2000,61.5,0,0,0,
20/11/2000,61.94,0,0,0,
23/11/2000,65,0,0,0,
24/11/2000,64.81,0,0,0,
25/11/2000,65.62,0,0,0,
27/11/2000,65.44,0,0,0,
30/11/2000,63.44,0,0,0,
01/12/2000,62.13,0,0,0,
02/12/2000,63,0,0,0,
03/12/2000,61.25,0,0,0,
04/12/2000,64.12,0,0,0,
07/12/2000,65,0,0,0,
08/12/2000,64.62,0,0,0,
09/12/2000,63.81,0,0,0,
10/12/2000,62.75,0,0,0,
11/12/2000,60.87,0,0,0,
14/12/2000,58.81,0,0,0,
15/12/2000,60.75,0,0,0,
16/12/2000,63.5,0,0,0,
17/12/2000,69.87,0,0,0,
18/12/2000,69.5,0,0,0,
21/12/2000,72.25,0,0,0,
22/12/2000,71.75,0,0,0,
23/12/2000,71.25,0,0,0,
24/12/2000,70.75,0,0,0,
28/12/2000,71.37,0,0,0,
29/12/2000,72,0,0,0,
30/12/2000,72,0,0,0,
31/12/2000,71,0,0,0,
04/01/2001,71.88,0,0,0,
05/01/2001,72.44,0,0,0,
06/01/2001,74,0,0,0,
07/01/2001,77.06,0,0,0,
08/01/2001,75.5,0,0,0,
11/01/2001,76.25,0,0,0,
12/01/2001,73.88,0,0,0,
13/01/2001,71.62,0,0,0,
14/01/2001,68.25,0,0,0,
15/01/2001,70.88,0,0,0,
19/01/2001,74.37,0,0,0,
20/01/2001,77.13,0,0,0,
21/01/2001,75.38,0,0,0,
22/01/2001,71.88,0,0,0,
25/01/2001,74.44,0,0,0,
26/01/2001,74.25,0,0,0,
27/01/2001,73.12,0,0,0,
28/01/2001,73.62,0,0,0,
29/01/2001,76.94,0,0,0,
01/02/2001,76.81,0,0,0,
02/02/2001,76.81,0,0,0,
03/02/2001,79.38,0,0,0,
04/02/2001,77.94,0,0,0,
05/02/2001,76.44,0,0,0,
08/02/2001,73.12,0,0,0,
09/02/2001,72,0,0,0,
10/02/2001,73.06,0,0,0,
11/02/2001,76.12,0,0,0,
12/02/2001,74.06,0,0,0,
16/02/2001,77.69,0,0,0,
17/02/2001,77.25,0,0,0,
18/02/2001,76.25,0,0,0,
19/02/2001,76.06,0,0,0,
22/02/2001,81,0,0,0,
